reference,generated
“වේවැල්දෙණිය නිවස විකුණූ සල්ලි වලින් රුපියල් ලක්ෂ දහයක මුදලක්‌ මම දසුන් පුතාට දුන්නා. එයා ඒක ඒ,“ටේවැලිදෙණිය නිවයි ටිකුණූ සිලිලි වලින්‌ රුරියල්‌ ලක්ෂි දහයක මුදලක්‌ මම දසුන්‌ රුතාට දුන්නා. එයා ඒක ඵ්‌
සමහරු වර්ණණා කරල තියෙනවා සමහරු බැනල තියෙනවා ඒත් මට හිතෙනක්විදියට,සමහරු වර්ණණා කරල තියෙනවා සමහරු බැනලු තියෙනවා ඒත්‌ මට හිතෙනක්විදියට
ඩොලර් මිලියන් 15000 ක් වියදම් ණයට ගෙන වියදම් කර ඉදිකෙරුණු,ඩොලර්‌ මිලියන්‌ 15000 ක්‌ වියදම්‌ ණයට ගෙන වියදම්‌ කර ඉදිකෙරුණු
අපෝ නැහැ. ගෙදරදි දුවලා පැනලා ගහන්න මට දරුවෝ ගොඩක් නැහැනේ. ඉන්නෙත් එක දුවයි. මම එයාට,"එ0(]]] ඒ]/5)/, [(1)(2(]( (21[:]] (|) [1)/2)212) 0)(] (]/(1£)] [11)1)2] ඒ)/)/[12]. *):1(12]] ෆෲ] උළු. 6]] (51)"
ආහ්. සැන්ඩරයා මෙහාටත් ඔලුව දාලා. උඹ ඇගිල්ලෙන් ඇනපු නිසා මාත්,ආහ්‌. සැන්ඩරයා මෙහාටත්‌ ඔලුව දාලා. උඹ ඇගිල්ලෙන්‌ ඇනපු නිසා මාත්‌
(2018 පෙබරවාරි 4 රාවයේ පළ වනු ඇතැයි සිතා සුපුරුදු ලෙස යවන ලදී.,(2018 පෙබරවාරි 4 රාවයේ පළ වනු ඇතැයි සිතා සුපුරුදු ලෙස යවන ලදී.
"අනික අපේ උන් ගල් අඟුරු, ඩීසල් බලාගාර වලින් එන විදුලිය ඉලෙක්ට්රික් වාහන වලට ගහගෙන","අනික අපේ උන්‌ ගලි අඟුරු, ඩීසලි බලාගාර වලින්‌ එන විදුලිය ඉලෙක්ටිරික්‌ වාහන වලට ගහගෙන"
බැලුවා. හැබැයි උඹ කියන විදිහෙ මාර දෙයක් නෑ මාතලන්. සඳරුගෙ කිට්ටුවටවත්,බැලුවා. හැබැයි උඹ කියන විදිහෙ මාර දෙයක්‌ නෑ මාතලන්‌. සඳරුගෙ කිට්ටුවටවත්‌
"අතහැර දමා තිබුණු බ්ලොග් එකේ යමක් ලියන්නට සිත් වුණේ, මේ දිනවල කතාබහට ලක් වුණු","අනඞ/2 දඉා තිබුණු බිලොල්‌ එකේ යන්‌ ලියන්නට සිඞ්‌ වුණේ, ලි දිනවල කනාබඞඩට ලක්‌ වුණු"
"එසේ වෙතත්, හාස්යජනක කාරණය වූයේ, නම වරද්දා නොගෙන නිසි අයුරින්","එසේ වෙතත්‌, හාස්යජනක කාරණය වූයේ, නම වරද්දා නොගෙන නිසි අයුරින්‌"
"මට අර සුදු රැවුලක් තියෙන මාමා අතේ බයිසිකලයක් එවන්න. තේරුනාද ? "" කුඩා දරුවාට","මට අර සුදු රැවුලක්‌ තියෙන මාමා අතේ බයිසිකලයක්‌ එවන්න. තේරුනාද ? "" කුඩා දරුවාට"
"සවුකොලේ මාරම පරිස්සමට අදාළ විදියට තියලා , සෙන්ටිමිටරයක්වත් එහා","සවුකොලේ මාරම පරිස්සමට අදාළ විදියට තියලා , සෙන්ටිමිටරයක්වත්‌ එහා"
මෙලෙස දරුවන් ඇතුළත් කර ගැනීමේදී ඔවුන්ට සිදුවන පීඩා සම්බන්ධයෙන්,මෙලෙස දරුවන්‌ ඇතුළත්‌ කර ගැනීමේදී ඔවුන්ට සිදුවන පීඩා සම්බන්ධයෙන්‌
"02) මා සැම සතියකම පාහේ කොලඹත් , මාගෙ උපන් ගම් ප්රදේශයත් දෙකෙහිම","02) මා සැම සතියකම පාහේ කොලඹත්‌ , මාගෙ උපන්‌ ගම්‌ ප්රදේශයත්‌ දෙකෙහිම"
පසුව අත්අඩංගුවට ගත් හිටපු අමාත්ය ජොන්ස්ටන් ප්රනාන්දු හෙට දිනය දක්වා,පිසුව අන්‌අඩං0වට ගන්‌ ඩිටපු අලාන්‍ය ජොන්ස්ටන්‌ ඵ්‍රනාන්දු ලට ද්නය දුක්වා
එවිට පරිසරයේ සුන්දරත්වයත් සැබැවින්ම විඳගන්න පුළුවන්. එය නිර්මාණයේ සුන්දරත්වය වෙනුවෙන් ද විශාල,චීවිට රරිසරයේ සුන්දරත්වයත්‌ සැබැවින්ම විදගන්න රුළඑුවන්‌. එය නිර්මාණයේ සුන්දරත්වය වෙනුවෙන්‌ දු ශාල
ඈ මහ බැංකු අධිපතිතුමනි එතකොට අපි එවන සල්ලි අපේ ගෙවල් වල මිනිස්සු වියදම් කරන්නේ,ඈ මහ බැංකු අධිපතිතුමනි එතකොට අපි එවන සලිලි අපේ ගෙවලි වලු මිනිස්සු වියදම්‌ කරන්නේ
සමාජ වටපිටාව නවීකරණය වෙද්දී මෙම චාරිත්ර ගැලපේද නොගැලපේද කියන කාරණාව,සමාජ වටපිටාව නවීකරණය වෙද්දී මෙම චාරිත්ර ගැලපේද නොගැලපේද කියන කාරණාව
වෙඩින් එකට පැය ගානක් ඉතුරු වෙලා තිබුනත් මම හිටියේ ඒකට ඕන කමකින්,වෙඩින්‌ එකට පැය ගානක්‌ ඉතුරු වෙලා තිබුනත්‌ මම හිටියේ එකට ඕන කමකින්‌
ලස්සන කියද්දීම හැමෝම හිතන්නේ මූණ සුදු කර ගන්න එක තමයි ඉතින්,ලස්සන කියද්දීම හැමෝම හිතන්නේ මූණ සුදු කර ගන්න එක තමයි ඉතින්‌
ඇත්තටම මම දහ වතාවක් විතර මේ වීඩියෝ එක බැළුව...මේ දරුවගෙ,ඇත්තටම මම දහ වතාවක්‌ විතර මේ වීඩියෝ එක බැළුව...මේ දරුවගෙ
ස්විච් - පත්තු කරලා දුන්න හැමෝම වෙනුවෙන් - පහුගිය 28 වෙනිදා ඉඳන් මේ,ස්විච්‌ - පත්තු කරලා දුන්න හැමෝම වෙනුවෙන්‌ - පහුගිය 28 වෙනිදා ඉඳන්‌ මේ
මරු තියරිය. මටනම් ඔය ගුගල් මෑප් එක පේන්න බෑ. අපේ මනුස්සය අන්තිමට,මරු තියරිය. මටනම්‌ ඔය ගුගල්‌ මෑප්‌ එක පේන්න බෑ. අපේ මනුස්සය අන්තිමට
අරේන්ද්‍ර කියන්නේ රටට ආදරේ ඇතිව යම් පනිව්ඩයක් ලබාදෙන යූ ට්යුබ් කරන,අරේන්ද්‍රි කියන්නේ රටට ආදරේ ඇතිව යම්‌ පනිවිඩයක්‌ ලබාදෙන යූ ටියුබ්‌ කරන
බුදුරජාණන් වහන්සේ දිනක් චන්න මානවකයා කැලයක් තුලින් ගමන් කරනු සහ අනතුරුව සොර මුලකට,බුදුරජාණන්‌ වහන්සේ දිනක්‌ චන්න මානවකයා කැලයක්‌ තුලින්‌ ගමන්‌ කරනු සහ අනතුරුව සොර මුලකට
අර බජට් ඉල්ලන උන්ට නම් මගේ ළඟ උත්තරයක් තියෙනවා. ඒක මෙතන,අර බජට්‌ ඉල්ලන උන්ට නම්‌ මගේ ළඟ උත්තරයක්‌ තියෙනවා. එක මෙතන
"චමුදිත මහත්මයා නියමයිනේ ,ඔයත් මම වගේ කෙනෙක් ...කියන්න තියෙන","චමුදිත මහත්මයා නියමයිනේ ,ඔයත්‌ මම වගේ කෙනෙක්‌ ...කියන්න තියෙන"
ඔබතුමාගේ වාර්තිය දැනුම ප්‍රයෝජනයට ගත්තනම් අපේ රටට මෙහෙම වෙන්නේ නෑ.විත්වතුන් කියා,ඔබතුමාගේ වාර්තිය දැනුම ප්‍රයෝජනයට ගත්තනම්‌ අපේ රටට මෙහෙම වෙන්නේ නෑ.විත්වතුන්‌ කියා
එම මැතිවණයේදී ශ්රීලනිප හා එජාප පිරිස්වලටද ශ්රී ලංකා පොදුජන පෙරමුණට,එම මැතිවණයේදී ශ්රීලනිප හා එජාප පිරිස්වලටද ශ්රී ලංකා පොදුජන පෙරමුණට
කළලයට හානි සිදු වේය හැකි බැවින් සාමාන්ය පුද්ගලයෙක්ට වඩා වැඩි,කළලයට හානි සිදු වේය හැකි බැවින්‌ සාමාන්ය පුද්ගලයෙක්ට වඩා වැඩි
පසුගිය ආසන්න දින කිහිපයකදී මේ සම්බන්දයෙන් කොළඹදී සාකච්චා වට තිහිපයක්ම පැවැත්වී ඇති අතර ඉදිරි මහ,පිසුගිය ආසන්න දින කිහිපයකදී මේ සම්බන්දයෙන්‌ කොළඹදී සාකච්චා වට තිහිපයක්ම පැවැත්ටී ඇති අතර ඉදිරි මහ
පැසුණු හෝ ඉඳුනු ගෙඩිවලට අත නොතබා ගැට තත්වයේ ඇති ගස් ලබු කඩන විට කාරණා නොදන්නා අයකු නම්,පසු] [1(1]] 5]: [11):)£)[:]] අර] [101]101]11)] [1)/1] 8]1£)/1(3 £0/6] [1]: [11] ස)£]ඒ] ඬු] 211(11:]] [101]1(212]] 205] ඒ)
මොනා කරන්න ද මාළුවෝ … මැජික් එකක් නැහැනේ අතේ එහාට මෙහාට යවලා,මොනා කරන්න ද මාළුවෝ ... මැජික්‌ එකක්‌ නැහැනේ අතේ එහාට මෙහාට යවලා
තවත් දෙයක් කිව යුතුයි හරේන්ද්‍ර සහෝදරයා ඔබ ඉතා නිහතමානී මාධ්‍යවේදියෙක්..ගොඩාක්,තවත්‌ දෙයක්‌ කිව යුතුයි හරේන්ද්‍ර සහෝදරයා ඔබ ඉතා නිහතමානී මාධ්‍යවේදියෙක්‌..ගොඩාක්‌
දෙමළ ජාතික සන්ධානයේ නායකයින් එල්ටීටීඊ සංවිධානය සමග රහසිගතව සාකච්ඡා කොට තමන්ව,දෙමළ ජාතික සන්ධානයේ නායකයින්‌ එල්ටීඊඊ සංවිධානය සමග රඞසිගනව සාකචිඡා කොට නමන්ව
"එසේ බියට පත්ව සිටීම, මේ පුද්ගලයාගේ මානසික සෞඛ්යය සරිකර දීමේ වගකීම බාරගෙන","විසේ බියට පත්ව ඩිරීම, මේ පුද්ගලයාගේ මානසික සෞඛියය සරිකර දීමේ වගකීම බාරගෙන"
ඔව්.බොහොමයක් රටවල එය අත්හදාබලා තිබෙනවා. එවැනි සම-රිසි පුද්ගලයන්,ඔව්‌.බොහොමයක්‌ රටවල එය අත්හදාබලා තිබෙනවා. එවැනි සම-රිසි පුද්ගලයන්‌
මාලන් : ඉස්කෝලෙදි ඉංග්රීසියෙන් ලියනකොට කැපිටල් සිම්පල් අකුරු ගැන කියලා දීල නැද්ද හැබෑට? තමාගේ,"(51113)2101816:15/2115 [3 [08:18 818 153)5 85)210[3)8321) 5:11, 8:11)4:3) තී |[3 8 53151[කෘ) :3 85:11) 814 1142-100211)85 ව 21 0 කුද 8:21! 4 (ස 1411125102) 511,511)"
මේ පෝස්ට් එක 2012.07.21 වන දින දැමූ පසු මෙය බේලොග් අඩවි වල වී,මේ පෝස්ට්‌ එක 2012.07.21 වන දින දැමූ පසු මෙය බේලොග්‌ අඩවි වල වී
ජනාධිපති මෛත්රීපාල සිරිසේන මහතා විසින් මෙම නියෝගය කරන ලද්දේ 2018 මාර්තු 07 වන,ජනාධිපති මෛත්ර්ීපාල සිරිසේන මහතා විසින්‌ මෙම නියෝගය කරන ලද්දේ 20185 මාර්තු 07 වන
"""ඒක මෙහෙමයි,-ජීවිතයේ එක්තරා අවස්ථාවකදී අපිට සිද්ද වෙන දේවල් අපේ පාලනයන්","""එක මෙහෙමයි,-රීවිතයේ එක්තරා අවස්ථාවකදී අපිට සිද්ද වෙන දේවලි අපේ පාලනයන්‌"
පෙම්වතියක් නෑ නේද.අනිවා ලැබෙයි.සක්කිලි ආත්ම ඉන්නව ඇති තරම් බයෙන්ම ජීවත් වෙලා බයෙන්ම,රේම්වතියක්‌ නෑ නෙද.අනිවා ලැබෙයි.සක්කිලි ආත්ම ඉන්නව ඇති තරම්‌ බයෙන්ම ජීවත්‌ වෙලා බයෙන්ම
අග්රාමාත්ය මහින්ද රාජපක්ෂ මහතා අද (03) රාත්රියේ ජනාධිපතිවරයා සමඟ,අග්රාමාන්ය මහින්ද රාජපක්ෂ මහතා අද (03) රාත්රියේ ජනාධිපතිවරයා සමඟ
වීඩියෝ පටය පටි ගත කළ ඕස්ට්රේලියානු ජාතික කාන්තාව කියා සිටින්නේ අනාථයන් සැලකුම්,වීඩියෝ පටය පටි ගත කළ ඕස්ට්රේලියානු ජාතික කාන්තාව කියා සිටින්නේ අනාථයන්‌ සැලකුම්‌
එසේම සමස්ත ලංකා ව්යාපෘති සහයකයින්ගේ එකමුතුව ද විරෝධතාවයේ,එසේම සමස්ත ලංකා ව්යාපෘති සහයකයින්ගේ එකමුතුව ද විරෝධතාවයේ
කෙසේ වෙතත් තෙල් මිල ඉහළ දැමීම සම්බන්ධයෙන් අවසන් තීරණය ගන්නේ ජනාධිපතිවරයා සහ අග්රාමාත්යවරයා,02103 01510] 0ර1[?] £)[:] 6](]ළි ලඋ(£]6] :6)(1)71(:]015] අවු 1(11)/5 [1]21012] ඒ 1](561£)(1(5] £5/1] £1/11(116)151(5)(1(51
"""මම සුජීව තිලංක. මගේ වයස අවුරුදු තිස්‌එකයි. වෘත්තියෙන් ගෘහ",'මම සුජීව තිලංක. මගේ වයස අවුරුදු තිස්එකයි. වෘත්තියෙන්‌ ගෘහ
මම හිතනව ඔබ තුමාට මේක කියන්න ඕන කියල.කලින් මන් හරිම සරල විදිහකට හිතන්න හුරුවෙලා හිටිය කියල මට දැන්,£]5] (1]51910] 11] 516)1(] 0£]2] 21(5012] 010] ස1[5[1].21[92] 12] 01112] £5(1[0] චුදි(1]:1(] (1]15101]] (1](1/:1)[9]] 01(1[5 ස1[5[$] £)[] ල/]
දවසේ ළමා ළපටින්ගේ කටයුතු සමග මග දිගට පවතින වර්ජන සහ බස් අරගලය සමග මහ,දවසේ ළමා ළඊටන්ගේ කටයුතු සමග මග දිගට පවතින වර්ජන සහ බස්‌ අරගලය සමග මහ
හම්බන්තොට වරාය ව්යාපෘතියෙහි යහපාලන මුලධර්මයන් ක්රියාත්මක වූ,හම්බන්තොට වරාය ව්යාපෘතියෙහි යහපාලන මුලධර්මයන්‌ ක්රියාත්මක වූ
නිදහස් කුසලාන පන්දුවාර 20යි 20 ක්රිකට් තරගාවලියේ ශ්රී ලංකාවට එරෙහිව තරගය,නිදහස්‌ කුසලාන පන්දුවාර 20යි 20 ක්රිකට්‌ තරගාවලියේ ශ්රී ලංකාවට එරෙහිව තරගය
ධීවර සහ ජලජ ජීවී වගාව පිළිබඳව හසල දැනුමක් ඇති ජාත්යන්තර වශයෙන් ඉතා ඉහළ,ධීවර සහ ජලර ජීවී වගාව පිළිබඳව හසල දැනුමක්‌ ඇති ජාත්යන්තර වශයෙන්‌ ඉතා ඉහළ
කෙසේ වෙතත් පාර්ලිමේන්තු මන්ත්රී නාමල් රාජපක්ෂ මහතා ශ්රීලංකන්,කෙසේ වෙතත්‌ පාර්ලිමේන්තු මන්ත්රී නාමල්‌ රාජපක්ෂ මහතා ශ්රීලංකන්‌
පසුගිය දිනවල මුදල් හා ජනමාධ්ය ඇමති මංගල සමරවීරගේ මූලිකත්වයෙන් යුතුව මත්පැන් සම්බන්ධව කාලයක් තිස්සේ තිබුණු කාන්තාවන්ට,පු01(5 දිනුව[9 සුදු 1] ජනා 2116105 £:/න5) 01119] £55][1£1[10111] £][95121£]0152] [5512] වුර1(5/2] £55]11121]ච] කා1[9(521] නැ 5111]51] 2111511610]
මම පොලිස්පති නම් මාසයක් ඇතුළත පොලිස් දෙපාර්තමේන්තුව ලංකාවේ වැඩියෙන්ම ලාභ ලබන ආයතනයක් බවට පත්කරනවා.,£]0) 1:51[:3(55) නා£] £)1:3(50] 1/ර1(:ර5] [1(51[:1:1 0:51[1/(16)01]ර1£) [:]0:1]1(1£) £)(/)(1[00216] [1111] [:)[1)72] £/:1[1(21/2]/ 103] [1]£)( ] (අ1:21/171]£)].
"“අපිම හදපු ෆේස්බුක් ලෝකය විනාශ කරනවා , වහාම ගැලවෙන්න ” ශ්රී ලංකාවේ","“අපිම හදපු ෆේස්බුක්‌ ලෝකය විනාශ කරනවා , වහාම ගැලවෙන්න ” ශ්රී ලංකාවේ"
පක්ෂයේ නිලධාරී මණ්ඩලයද ඇතුළුව පක්ෂයේ පූර්ණ ප්රතිසංවිධානයක් සිදු,පක්ෂයේ නිලධාරී මණ්ඩලයද ඇතුළුව පක්ෂයේ පූර්ණ පරතිසංවිධානයක්‌ සිදු
මෙ සිරිධම්ම කියන හොර තක්කඩියාට අමතකවෙලා එදා අවුරුදු 2500 කට පෙර අප,මෙ සිරිධම්ම කියන හොර තක්කඩියාට අමතකවෙලා එදා අවුරුදු 2500 කට පෙර අප
මමත් සිම් එකක් ගත්තා. සර්විස් එක නියමයි. කිව්ව දවසටම ඩිලිවරි කළා. පැය 4 න් ඇක්ටිව් කළා. ස්තූතියි,මමත්‌ සිම්‌ එකක්‌ ගත්තා. සර්විස්‌ එක නියමයි. කිව්ව දවසටම ඩිලිවරි කළා. පැය 4 න්‌ ඇක්ටිව්‌ කළා. ස්තූතියි
"පසු ගිය වකවානුවේ ඇති වූ ගංවතුර, නායා යෑම්, වගා හානි ආදිය සඳහා රජයේ ප්රමුඛතම රක්ෂණ","ඵුයු [115 යාව 101]£) £0/8] £] [1](1£15)(1, ඒ)1(] [05], ඒ1[1]] (1)101] £:162[5 3120]] [1(2[1(1 £1[16£]])6] [121/10:]"
සීමාව (ලාභය ගන්න) එවැනි නියෝගයක් මිලකට අලෙවි කිරීමට පියවර ගෙන තිබේ,සීමාව (ලාභය ගන්න) එවැනි නියෝගයක්‌ මිලකට අලෙවි කිරීමට පියවර ගෙන තිබේ
මාධ්‍යවේදියො දන්නෙ බුරන්න විතරද? අජිත් මහත්මා මෑත කාලයේ,මාධ්‍යවේදියො දන්නෙ බුරන්න විතරද? අජිත්‌ මහත්මා මෑත කාලයේ
“පුතේ… අපි මෙහෙම හිටියොත් තව දවස් දෙක තුනක් යද්දි කොහොමත් හාමතේම,“පුනේ... අපි මෙහෙට ඞිටියොන්‌ නව දවස්‌ දෙක නනක්‌ යද්දි කොඞොඉන්‌ ඞාමනේඉ
අදටත් වේදිකා නිර්මාණයේදී මේ සම්ප්රදාය රැකගෙන තියෙනවා. පැහැදිලිව කිව්වොත් නලුවො ඉන්න,අදටත්‌ වේදිකා නිර්මාණයේදී මේ සම්ප්රදාය රැකගෙන තියෙනවා. පැහැදිලිව කිව්වොත්‌ නලුවො ඉන්න
එක්සත් අරාබි එමීර් රාජ්ය හා ඉන්දියාව අතර ද්විපාර්ශිවික සබඳතා වර්ධනය කර ගැනීම වෙනුවෙන්,එක්සන්‌ අරාබි එමි6 රාජිය ඞා ඉන්දියාව අනර ද්විපා061වික සබඳුනා වර්ධනය කර ගැනීම වෙනුවෙන්‌
එමෙන් ම වෙසක් දිනය පළමුවෙන් නිවාඩු දිනයක් බවට පත් කළ යුතුය යන යෝජනාව ද ඇතුළත්,එමෙන්‌ ම වෙසක්‌ දිනය පළමුවෙන්‌ නිවාඩු දිනයක්‌ බවට පත්‌ කළ යුතුය යන යෝජනාව ද ඇතුළත්‌
විමල් වීරවංශ මෑත කාලීනව ගත කළ ජීවිතය අනුව ඔහුට සිරගෙය අපායක්,විමල්‌ වීරවංශ මෑත කාලීනව ගත කළ ජීවිතය අනුව ඔහුට සිරගෙය අපායක්‌
අයියෝ.අතීතේ.ඔය උත්තරේ කෙල්ලෙක් දෙන තුරු මගේ පපුවත් කොච්චර,අයියෝ.අතීතේ.ඔය උත්තරේ කෙල්ලෙක්‌ දෙන තුරු මගේ පපුවත්‌ කොච්චර
ප්රාදේශීය සභා හා නගර සභා මන්ත්රිවරුන්ගේ සහයෝගය තියෙන්නේ මහින්දට බව,පිරාදේශීය සභා හා නගර සහා මනන්රිවරුන්ගේ සහයෝගය තියෙන්නේ මහින්දට බව
එයින් ගෑස් මෙට්ර්ක් ටොන් 1ක් වෙනුවෙන් ඕමාන් සාමාගම ඩොලර් 48ක් සහ ෂෙල් සමාගම,එයින්‌ ගෑස්‌ මෙට්ර්ක්‌ ටොන්‌ 1ක්‌ වෙනුවෙන්‌ ඕමාන්‌ සාමාගම ඩොලර්‌ 48ක්‌ සහ ෂෙල්‌ සමාගම
ආසාවෙන්ම මග බලන් හිටපු එකක්.... අපේ පුංචි රටේ මේ තරම්ම,ආසාවෙන්ම මග බලන්‌ හිටපු එකක්‌.... අපේ පුංචි රටේ මේ තරම්ම
තවත් ඔයාට දාන්න ක් කමෙන්ට්ස් නෑ.ඔයා යනගමන අත්වැල් බැදගෙන යන්න මමත් කැමතියි,තවත්‌ ඔයාට ඵන්න කි කෘමන්ටසි නෑ.ඔයා යනගමන අත්වැලි බැදැවන යන්න මමත්‌ කැමතියි
පිස්සු හැදෙන කතාවක් තමයි. මමත් ගූගල් සර්ච් කරලා බැලුවා. එක ගැන සෑහෙන,පිස්සු හැදෙන කතාවක්‌ තමයි. මමත්‌ ගූගල්‌ සර්ච්‌ කරලා බැලුවා. එක ගැන සෑහෙන
ටික කලක් ගතවෙද්දී පුස්තකාලය සඳහා ස්ථිර ගොඩනැගිල්ලක අවශ්යතාව පැන,ටික කලක්‌ ගතවෙද්දී පුස්තකාලය සඳහා ස්ථිර ගොඩනැගිල්ලක අවශ්යතාව පැන
ආදර්ශය නම් ගොඩක් උතුම්... ඒත් චීවරයට මුවා වෙලා කම් සැප/ රජ සැප,ආදර්ශය නම්‌ ගොඩක්‌ උතුම්‌... ඒත්‌ චීවරයට මුවා වෙලා කම්‌ සැප/ රජ සැප
"ඉහත කී මුදල් ගෙවීමේ ක්රම මගින් අපිට ලැබෙන මුදල් 2, සහ හි ගිනුමක තැන්පත් වෙනවා, ඒවා අපට ලංකාවට","ඉත කී මුදලි ගෙවීමේ ක්රම මගින්‌ අරිට ලැබෙන මුදුලි 7, සඞ ඞී ගිනුමක තැන්රිත්‌ වෙනවා, එවා අපරට ලංකාවට"
වැඩිදුරටත් ඔහු ප්රකාශ කර සිටියේ මෙම පුටු ඇණවුම දේශීය සමාගමක් වෙත පැවරීමට තීරණය කළ බවයි. ජනතා විමුක්ති,ව/):(1()2] ෆු] ජ:ා(%9 කා සු0( 0)0) ෆු] (අ/)£]6] 65%(5 හ£)(/)9)2] 0:10) පැ/£)(16)(] අ11]1(5 කළි 0):)(8. ජා] චු]
දැන් අපිට නිතර දෙවේලේ අහන්න ලැබෙන පුවත් දැක්කම අපිටම වෙලාවකට හිතෙනවා අපි මේ,දැන්‌ අරිට නිතර දෙවේලේ අහන්න ලැබෙන රුවත්‌ දැක්කම අරිටම වෙලාවකට හිතෙනවා අරි 6මි
මෙම මස 31 වැනිදා පැවැත්වීමට නියමිත ශ්රී ලංකා ක්රිකට් ආයතන නිලවරණය පිළිබද විශේෂ,මෙම මස 31 වැනිදා පැවැත්වීමට නියමිත ශ්රී ලංකා ක්‍රිකට්‌ ආයතන නිලවරණය පිළිබද විශේෂ
ආ.අමතක වුනා.හදිසියේ හරි ඒ දෙන්නා ලස්සනට හිනාවෙලා උත්තර දෙන එක,ආ.අමතක වුනා.හදිසියේ හරි ඒ දෙන්නා ලස්සනට හිනාවෙලා උත්තර දෙන එක
කිලෝ 13 යි ග්රෑම් 400 ක් බර මෙම රන් තොගය බෝට්ටු මාර්ගයෙන් මෙරට සිට රැගෙන ගොස් ඇති බවට හෙළි වී,කිලෝ 135 යි ග්රෑම්‌ 400 ක්‌ බර මෙම රන්‌ තොගය බෝට්ටු මාර්ගයෙන්‌ මෙරට සිට රැගෙන ගොස්‌ ඇති බවට හෙළි වී
දිවයිනේ ප්රධාන පෙළේ සරසවියක මහාචාර්ය පදවියක් දරන ස්වාමීන් වහන්සේ නමකගේ,දිවයිනේ ප්රධාන පෙළේ සරසවියක මහාචාර්ය පදවියක්‌ දරන ස්වාමින්‌ වහන්සේ නමකගේ
"පර්යේෂණ උපකරණ එවැනි කොටකලිසම් ක්රීඩා උපකරණ, අථත්ය යථාර්ථය ක්රීඩා","පර්යේෂණ උපකරණ එවැනි කොටකලිසම්‌ ක්රීඩා උපකරණ, අථත්ය යථාර්ථය ක්රීඩා"
අයියගේ මන් මුලින්ම බලපු විඩියෝ එක අවාරේ සිරිපා.ඒක බල බල ඉන්නකොට,අයියගේ මන්‌ මුලින්ම බලපු විඩියෝ එක අවාරේ සිරිපා.ඵක බල බල ඉන්නකොට
1. අන්දරේ -- බොරු කිවුවොත් එල්ලනව උනාට බොරු නොකියා වෙන,1. අන්දරේ -- බොරු කිවුවොන්‌ එල්ලනව උනාට බොරු නොකියා වෙන
මේ අතර කොළඹ රිජ්වේ ආර්යා ළමා රෝහලේ ප්රතිකාර ලබන කොවිඩ් ආසාදිත,මේ අතර කොළඹ රිජ්වේ ආර්යා ළමා රෝහලේ ප්රතිකාර ලබන කොවිඩ්‌ ආසාදිත
""" අන්න මචං වීරේ. උඹ එහෙම කතා කරන එක වැරදියි මචං. කෙල්ලො කියන එවුං අද අපි එක්ක පණ වගෙ හිටිය,",""" අන්න මචං වීර. උඹ එහෙම කතා කරන එක ටැරදියි මචං. කෙල්ලො කියන එවුං අඳ අපි එක්ක පණ වගෙ ගිටිය,"
"අම්මට සිරි ටීචලා ටිකටයි කෙල්ලෝ ටිකටයි ගුරු නිවාසේම පැත්තක්, ලයිට් දාලා ට්රැවලින් මෙට්ට","අමිමට සිරි ටිචලා ටිකටයි කෙලිලෝ ටිකටයි ගුරු නිවාසේම පැත්තක්‌, ලයිටි දාලා ටිරැවලින්‌ මෙට්ට"
ප්රියානි කෑම ලෑස්ති කරලා මේසේ ලගට වෙලා බලන් හිටියේ මේ දෙන්නා එනකම්.දෙන්නා,ප්රියානි කෑම ලෑස්ති කරලා මේසේ ලගට වෙලා බලන්‌ හිටියේ මේ දෙන්නා එනකම්‌.දෙන්නා
මේ දිනවල කොලබ බණ්ඩාරනායක ජාත්යන්තර සම්මන්ත්රණ ශාලා පරිශ්රයේ,මේ දිනවල කොලබ බණ්ඩාරනායක ජාත්යන්තර සම්මන්ත්රණ ශාලා පරිශ්රයේ
"ක් යනු, අශ්වයෙකුගේ කුර ගෙවීම වැලැක්වීමට සැලසුම් කළ, සාමාන්යයෙන් ලෝහයෙන් තැනුවද,","ක්‌ යනු, අශ්වයෙකුගේ කූර ගෙවීම වැලැක්වීමට සැලසුම්‌ කළ, සාමාන්යයෙන්‌ ලෝහයෙන්‌ තැනුවද,"
සියලු ආගම්වලින් කියවෙන්නේ එක ම සත්යයකි යනු ද සමන්තභද්ර නමින් පෙනී,සියලු ආගම්වලින්‌ කියවෙන්නේ එක ම සත්යයකි යනු ද සමන්තභද්ර නමින්‌ පෙනී
"මේ අතර, දිවයින පුරා සිදු කළ මත්ද්රව්ය සහ අවි ආයුධ වැටලිම් වලදී ප්රධාන පෙළේ අපරාධ කල්ලි","6] £15][1], 138) [1] 363 සාළි 6]5]ල1£1(5 501] (අල £11(5:] £]/[ [06] £1[0( (10:11) (1:50(ළී (අ:(11[:] ය1[71[]"
අක්කි පුදුම ලස්සනට ලියනවා අක්කි. මං හැමදාම එනවා අද ඉදන් නම්. අපරාදෙ නෙ මේතර,අක්කි පුදුම ලස්සනට ලියනවා අක්කි. මං හැමදාම එනවා අද ඉදන්‌ නමි. අපරාදෙ නෙ මේතර
