reference,generated
என்னல்த டர்பபடத்தமடந்தகதகளஒரப தம்கண்டபடக்கமடயவ ல்ல,என்னலத் டரப்படத்தமடந்தகத்தளஒரிப தமகண்டபடக்கமடயவ லல
ததசஹப்பல்க சத்ரநகரஃபலம்சட்ட எம்எஃப்எஸ்சடச மம்ப,தத்தறிப்பல்க சதரந்தரன்பலம்சட்ட எம்எஃப்எஸ்ச்டச மமப
நம் பழமயத்தர ந்தவத்தரப்பதம் சலந ரம்நல்லததன்,நம பழமயத்தர நதவததரப்பதம் சலந ரமநலலததன
நகரத்தன்உள்சல்லம்சலயல் உள்ள வளம்பரங்கள்த ரயம,நகரத்தன்ற வசல்லம்சல்யுல் உள்ள வளம்பரங்கள்க் ரயம்
பயணகளன்பத கப்ப அவரத உயரக்கஆபத்தஏற்பட ம்பத,பயணகளனபத கப்ப அவரத உயர்க்கஆபத்தரறபட மபத
அட்லண்டஸன்எந்தமகனம்மகளம் உங்களக்கஒர பதம்சல்லம ட்டர்கள்,அடலண்டலன்படுத்திகளம் உங்களக்கிர பதம்சல்லம் டடர்கள
நம்வ றமனமற்றவர்கள்என்ன எங்களக்கவண்டம்இரக்க வண்டம்,நமவ றமனமறறவர்கள்ளன எங்களக்கவண்டமஇர்க்க வண்டம்
அதய ர்சய்ததன்னபர்க்கலன்ன உனக்கந ங்கஉதவமடயத,அதய ரசயத்தன்னபர்க்கலன்ன உனக்கந ங்கஉதவமடயத்
ஆனல்அவர்கள்உன்ன அரகலர க்கம் ஏர்ஃபீல்டக்கக்கட்டச்சல்வர்கள்,ஆனல்அவர்கள்உன்ன அரகலர க்கம் ஏர்ஃபீல்டக்கக்கட்டச்சல்வர்கள்
டக்கயவசகளல்இப்பத களல்இரக்கம் பத்தல்ஒரவர் வளந ட்டல்பறந்தவர்கள்,டக்கயவசகளலஇப்பத களலஇரக்கம் பததலஒரவர வளந டடலபறநதவரகள
நன்உங்கள்கடம்பம்தரயம் நீங்கள்என்னட யததரயம்,நன்உங்கள்கடம்பம்தரயம் நீங்கள்என்னட யததரயம்
அந்த வப்பமனநீர்இந்தசன்ன நத்தல மீன்களக்கவழ உகந்ததகஇல்ல,அந்த வப்பமனநீர்இந்தசன்ன நத்தல மீன்களக்கவழ உகந்ததகஇல்ல
நீங்கள் இலக்ககளசமக்கப்பட ம் தன்மண்டலபட்டயல்,நீங்கள இலக்களசமக்கப்பட ம தனமணடலபட்டயல
உங்களக்கபர சகடயம்ஆரஞ்ஜசக்லட்டம் கடத்தஆட்களக்கவல,உங்கள்க்கபர் சகடயம்ஆர்ஞ்ஜச்கலட்டம் கடததஆட்களக்கவல்
ஆனல்என்வழ்க்கயநீங்கள்மடவசய்வத எனக்கப்ப டக்கவல்ல,ஆனலஎனவழக்கயநங்களமடவசய்வத எனக்கப்ப டக்கவல்ல
என் அழகக்க உன்ஆன்மவன்ஒரபகத எப்பதம்இங்கரக்கம்,என அழக்கக் உன்ஆனமவனஒர்பகத எப்பதமஇங்கரககம
கடயற்றத்தக்கமன்னத கஇப்பதஉங்களநலப்பட த்தவண்டம்,கடயறறததககமனைத கஇபபதஉங்களநலபபட ததவணடம
அப்பறம் என்ன மயர்லஅரஸ்ட்பண்ண அவன கஸ்டடலவ ப்ப,அப்பறம் என்ன மயர்லஅர்ஸட்டண்ண அவன கலட்டலவ் பப
ஜனதபதக்கமதமதல்லசமீபம வந்த ஒரக ண்டடட்டபப்ப ம்,ஜனதபதக்கமதமதல்சம்பம் வந்த ஒரக ணடடடடடடப்பப் ம
இல்லஎன்றல்தனத சந்த சயஉறஞ்சதல் மற்றம்க ழத்தனம்,இல்லஎன்றலதனத சந்த சய்உறஞ்சதல் மற்றமக ழததனம
ஆனல் ச லஅர யசந்தர்ப்பங்களல் அவத ரளமககடக்கன்றன,ஆனல் ச லஅர யசந்தரப்பங்களல் அவது ரளமக்கடக்கன்றன
அவர் சன்னர் மவ் ஒரஅழகற்றஅழகக்கண்ட தங்கவத நறத்தச்சல்லங்கள்,அவர் சன்னர் மவ ஒரஅழகறறஅழகக்கண்ட தங்கவத நறத்தசசல்லங்கள்
நங்கள்இரவரம்இரந்தபதலம் நங்கள்ப ரல்இரந்தம்,நங்கள்இரவரம்இரந்தபதலம் நங்கள்ப ரல்இரந்தம்
ப்த பல மர ந்தகளன்மதப்பீடல் தடர்ந்தநடந்தக்கண்டரக்கறத,பத பல மர ந்தகளன்மதப்பீடல் தடர்ந்தநடந்தக்கண்டரக்கறத
கணனடர ன்ஸ்கரப்ஷன்தரவஉரவ க்கப்பட்டத மழபயர்ப்பமற்ற ம்வசனவர கள்,கண்ணடர் னஸ்கர்பஷ்னதரவஉர்வ ககப்பட்டத் மழபயர்பமற்ற மவசனவர் கள
பரச்சனவரம்பதஅவர்சக்கலனவர் பதக்கப்பட்டவர்என நன ப்பம்,பரச்சனவரம்பதஅவரசக்கலனவர் பதக்கப்பட்டவர்என நன் பயம்
நீங்கள் உங்களதவலதகஎல ம்பகள மட்டம்உடத்தக்கள்ளவல்ல,நிங்கள் உங்களதவலதகளல் மபகள் மட்டமஉடதத்தகளிளவலல்
அதம ற்றலம்பத்த யகரத்தனம்என்ற எனக்கத்த ரந்தலம்,அதம றறலம்பத்த யகரததனமஎன்ற எனக்கத்த ரந்தலம்
இதம ழக்கவம் சம்மந்தமல்லதகள்வ நீதபத அவர்கள,இதம ழக்கவம் சம்மந்தமல்லதகள்வ நீதபத அவர்கள
நாம் மோசமான விஷயம் போட் டிரங் இளவயதினர்,நாம் மோசமான விஷயம் போட் டிரங் இளவயதினர்
உங்கள் சக்ஸ்ம தலளக்கநீங்கள்என்னவண்டமனல ம்சய்யங்கள்,ங்கள் சகவம் கல்வக்குக் கொள்ணவண்ட் மன்ல மசயயங்கள
நன்உன்னபர்த்தன்அந்தகணம்தரய ம் நீங்கள் சறப்ப,நனஉனனபரததனஅந்தகணமதரய ம் நீங்கள் சறப்ப
இந்த கத்தகஒப்பந்தம் மன்றஆண்டகள்இரப்பதஅவசயம்,இந்த கத்தகஒப்பந்தம் மன்றஆண்டகள்இரப்பதஅவசயம்
ப்ளீஸ் அவங்க எங்கஇரக்கங்கன்னபங் பட்ரட்ஜக்கத்தரஞ்சரக்கலம்,பளீஸ் அவங்க எங்கஇரக்கங்கனன்பங் படரடஜககததரஞ்சரக்கலம
ஸ்டர்க்நீங்கள்எப்பதம்நம்பக்கதரயம்வடஒர லசனதவகமதஉள்ளத,ஸ்டர்க்நிங்கள்எப்பதமநமபககதரயமவட்ஒர லசனதவகமதஉள்ளத
ஈவல்ஐ தீமயல்வட்டக்கடம் ஆனல்அன்பஎல்லதடகளய ம்தகர்க்கம்,ஈவலஐ தீமயல்வட்டக்கடம் ஆனல்அன்பஎல்லதடகளய ம்தகர்க்கம்
இங்கரக்கம்ஒவ்வரபண்ணம் அப்படத்தன்உணர்ந்தள்ளனர்,இங்கரக்கமஒவவர்பணணம் அப்படத்தனஉணர்ந்தள்ளனர
நீ சந்தஷமகஇர க்கவண்டம் எனநனக்கறள் எனவசந்தஷமகஇரப,நீ சந்தஷமகஇர் க்கவண்டம் எனநனக்கறள் எனவசந்தஷமகஇரப
ஆனல்நீங்கள்மகவம்சவயகஇரக்கறீர்கள்என்றநன்பந்தயம்கட்ட வன் இல்லய,ஆனல்நீங்கள்மகவம்சவயகஇரக்கறீர்கள்என்றநன்பந்தயம்கட்ட வன் இல்லய
மன்றஐந்தநட்சத்தரவடதகள் கலபவல்ஒரபட்ரல்பம்ப்,மன்றஐந்தநடசத்தரவடத்கள் கலபவல்ஒரபடர்லபம்ப
பரமற்றம்ன பத்தகத்தக்க பதல்மீண்டம்சதந்தரத்தநடவன்,பரமற்றம்ன பத்தகத்தக்க பதல்மீண்டம்சதந்தரத்தநடவன்
இரந்தம்நன்பனன் ஏன்னநன்நல்ல நடந்தக்கட்டன்னஎனக்கநன்சல்லக்கத ன்,இரந்தமநனபனன் ஏன்னநனநலல் நடந்தக்கட்டன்னஎனக்கத்திச்சலலக்கத் ன
வசரணஅடத்தகட்டத்தக்கப் பறதக்ககஞ்சம்உதவயஇரக்கம்,வசரணஅடத்தகட்டத்தக்கப் பறதக்ககஞ்சம்உதவயஇரக்கம்
ஆனால் அங்கு இயந்திரங்களை பாதுகாப்பாக பொருத்திய பின்பு நான் இங்கிருந்து சென்றுவிடுவேன்,ஆனால் அங்கு இயந்திரங்களை பாதுகாப்பாக பொருத்திய பின்பு நான் இங்கிருந்து சென்றுவிடுவேன்
நன்மக்களஅங்கஅனப்பறத என்னல அவங்கள இங்க பர்க்கம டயலன்னதன,நனமக்களஅங்கஅனப்பற்த என்னல் அவங்கள் இங்க பரக்கம் டயலனைதன
ஐந்தவத வததரத்தங்களன் அரசயலமப்பஉரம களவளக்கய பன்,ஐந்தவத் வத்தரத்தங்களன் அரசயலம்ப்பீடரம் களவிளக்கய பன
நீங்கள் தர்தல்ஆணயளர்தரந்தகள்ளவண்ட ம் இதஅதகபட்சதகவல் ஐய,நீங்கள் தர்தல்ஆணயளர்தரந்தகள்ளவண்ட ம் இதஅதகபட்சதகவல் ஐய
அப்பஎல்லசலவ க்கம்பணம்தந்த கள்கவச்சக்கறதஎல்லம் சலபம்தன,அப்பாலல்சலவு ககம்பணமதருத் களகவச்சக்கற்குஎல்லம் சலப்பதன
உனக்கம்எனக்கபடத்தவர்களக்கம் அங்கப ய்அஞ்சல்எழ தநனத்தன்,உனக்கம்எனக்கபடத்தவர்களக்கம் அங்கப் யஅஞ்சலாழ தநனத்தன
கடவள நீங்கள்தளவ கக்கணமடந்தல் இந்த பண்ணன்பவங்களமன்னக்க,கடவள நங்களதளவ கக்கணமடந்தல் இந்த பண்ணன்பவங்களமன்னகக
அறவரயன்பட மக்கள்கவனமகவ ம் சமக இடவளயகடப்படத்தம்வரவண்டம்,வரயனபட மக்களகவனமகவு ம சமக இடவளயகடப்படத்தமவரவண்டப
நீங்க யரன்னஎனக்கத்தரயம் நீங்கஇங்க வரக்கடத,நீங்க யரன்னஎனக்கத்தரயம் நீங்கஇங்க வரக்கடத
அதஉங்களக்கசதகம இரக்கம இல்ல பதகமஇர க்கமன்ன இப்பதர யத,அதஉங்களக்கசதகம இரக்கம இல்ல பதகமஇர க்கமன்ன இப்பதர யத
கடமயனவர்த்தயல்ஏற்பட்ட கயத்தஎந்தமரந்தலம்ஆற்றமடய த,கடமயனவர்த்தயலஏற்பட்ட கயதத்தநநதமரந்தலமஆற்றமடய த
ஏன் என்றஉனக்கத்தரய ம் அவர்கள் அதஇணக்கறர்கள்,ஏன் என்றஉனக்கத்தரய ம் அவர்கள் அதஇணக்கறர்கள்
அவ்வப்பதசந்தக்கறதலதப்பதம் இரக்கறமத ரஎனக்க த்தரயல,அவ்வப்பதசந்தக்கறதலதப்பதம் இரக்கறமத ரஎனக்க த்தரயல
தனப்பட்டச ழலல்வவத க்க நமக்கந றயநரம்இரக்க றத,தனப்பட்டச ழலல்வவத க்க நமக்கந றயநரம்இரக்க றத
அதற்கஇந்தமல க்ககபள்இணக்கணம் மற்றம்அந்தமல க்க,அதற்கஇந்தமல க்ககபள்இணக்கணம் மற்றம்அந்தமல க்க
இங்கள்ளவர்கள்க ஞ்சம்மல ட்டமனவர்கள்என்றந ன்நனக்கறன்,இத்தாளவர்கள் (நசமமல) ட்டமனவர்களானமா னர்னத்துன
இதஒவ்வரஞயறம்என்அம்ம கண்டரந்தஉணவ வழக்கம்பலஉள்ளத,இதலவரஞ்யறமஎனஅமம் கண்டரந்தஉணவ வழக்கம்பல்உள்ளத
சரி அது நீங்கள் மிகவும் கடினமாக சமீபத்தில் வேலை மற்றும் வேண்டும்,சரி அது நீங்கள் மிகவும் கடினமாக சமீபத்தில் வேலை மற்றும் வேண்டும்
எங்கள் இடம் தண்ணீரல்ம ழ்கயபத எல்லவற்றயம்பக் சய்த கண்டவந்தவட்ட ம்,எங்கள் இடம் தண்ணீரலம் ழகயபத எலலவறறியம்பக சயத கணடவந்தவட்ட ம
ஆமம் அரசத்தரப்பஅந்த கத்த யன் மதரக்கம் கலயனவரன்கயங்களக்க ம்,ஆம்ம் அரச்த்தரப்பட்அந்த கத்த யன் மதர்க்கம் கல்யனவர்க்கயங்கள்க்க ப
அதனல் அடத்தபத்தவரங்களக்கள் நம் அதப்ப டப்பதற்கனமஷனத்தடங்கயக வண்டம்,அதனல் அடதத்ததவரங்கள்கள் நம அதபப டப்பதற்கனமஷனத்தடங்கயக வண்டம
ஜப்பனற்கவரம்வய்ப்ப நன்எப்பதம்தவறவ டமட்டன்,ஜப்பன்ற்கவரம்வயப்ப நன்எப்பதமத்துறைவ் டமட்டன
உனக்கவ ண்டயஅளவ மழவத மகஞ்சம இதல்த டர்பசய்யலம்,உனககவ ணடயஅளவ மழவத மகஞ்சம் இதலத் டரபசயயலம
இதம தல்மற அல்ல நீங்கள் உங்கள் சந்தவ தகளமீறவ ட்டீர்கள்,இதம தல்மற அல்ல நீங்கள் உங்கள் சந்தவ தகளம்றவ ட்டீர்கள்
சர்லஸ்தன்வீட்டல் மக்களவசக்கஅனமதத்தரக்கறர்,சர்லஸ்தன்வீட்டல் மக்களவசக்க அனமதததரக்கறா
நீ ஒரப கம்பர்க்கம்வரஇன நன்உன்னடபடக்கமட்டன்,ஒர்ப் கம்பர்க்கமவர்ஜின் நீன்ஜன்னட்படக்கமட்டன்
நங்கள்உமர்மற்றம்அவரத கம்பல் அவர்களதகணக்ககள்உங்கள்கணனய ல்உள்ளனநற த்தவண்டம்,நங்களஉமரமற்றமஅவரத் கம்பல் அவர்களத்தணக்கள் உங்களையை லஉள்ளனந்ற ததவண்டம
ப்ரஸ்வ ய்ன்மக்வீன்பல்டர்கம்பன அவன் அப்பஇறந்தவட்டர்,பரஸ்வ யனமகவீனபலடர்கம்பன அவன அப்பஇறநதவட்டர
அவர்கள் கயமற்றவர்கள்அல்ல சதரணமக்களக்கன்றத,அவர்கள் கயமற்றவர்களஅல்ல சதரணமக்கள்க்கன்றத
நீங்கள் அவளக்கநர க்கமகஇரக்க றீர்கள்மற்றம்வ ல்லவழயக சதந்தரமகசல்லங்கள்,நீங்கள் அவளக்கநர க்கமகஇரக்க றீர்கள்மற்றம்வ ல்லவழயக சதந்தரமகசல்லங்கள்
நன்த ரம்பவரவன்என்றநனத்தன் இந்த நரத்தல்வபச்சரத்தல்,நன்த ரம்பவரவன்என்றநனத்தன் இந்த நரத்தல்வபச்சரத்தல்
பரச்சனபழக்கவழக்கங்களடன்தடர்ப டயதஎன்றநன்நன க்கறன்,பரச்சனபழக்கவழக்கங்களடனத்டரப் டயதஎன்றநனநன ககறன
சமர்ஒர வரத்தற்கமன்ப அவர்கள்எங்கள்தட்டத்தமடம்படகறனர்,சமரஒர வரததற்கமனப அவர்கள்ளங்களத்டடத்தமடம்படகறனர
வஷயங்கள் எந்த அந்நயரயம்பறம டயத என்றநன்ந னத்தப த,வஷ்யங்கள் எந்த அந்நயரயம்பறம் டயத என்றநனந் னததப் த
ஜீயஸ்தன்னடயஅதகரத்தல்கடசயகப்பயன்படத்தனர் ஏரஸ்ஐ ந றத்த,ஜீயஸ்தனனடயஅதகரததலகடசயகப்பயன்படத்தனர் ஏரஸ்ஜூந றத்த
நீங்க எங்க வீட்டக்கவந்தகஞ்சம் இளப்பறவட்டதன்பகணம் என்ன,நீங்க எங்க வீட்டக்கவந்தக(ஞ்சம் இளப்பறவட்டதன்பகணம் என்ன
எப்பதன்றல் பகர்சய்தவர ன்கணவர் தன் அலவலகத்தல்அன வரடமம்,எப்பதன்றல் பகர்சயதவர் னகணவர் தன அலவலகதததலஅன வரடமம்
லப்ஸ்டர்க்யலீஸ்இரக்கக்கடயஇடங்கள் இரண்டமட்,லப்ஸ்டர்க்யலீஸ்இரக்கக்கடயஇடங்கள் இரண்டமட்
இல் மீக் ட்ரீம்ஸ் அண்ட் நட்மர்ஸ் என்ற இசத்தகப்பஒலப்பதவசய்கறர்,இல் மீக் ட்ரீம்ஸ் அண்ட் நட்மர்ஸ் என்ற இசத்தகப்பஒலப்பதவசய்கறர்
எங்கள் கழதகளக்கஅறவப்பமற்றம்அன த்தகக்த ரடகறர்,எங்கள்
அவர் நடநலப்பள்ளயல்என்னவக யனவய்ப்பஎன்றநனக்கறீர்கள்,அவர நடநலபபள்ளயல்என்னவக யனவயப்பளன்றநனககற்ரகள
நன்அவர்அத தடங்கப்பட்டதஎன்னநனவ ல்நன்நனக்கவல்ல,நனஅவரஅத் தடங்கப்பட்டதஎனனநனவு லநனநனக்கவலல
வரம்எண்ணம் மசமனகளக்க தறந்தவளவரந்த கட்டப்ப டல்லதகலவ,ுரமஎண்ணம் மசமனகளகக் தறநதவளவர்ந்த கட்டப்பட்லல்தகலவ
வஜபரசத்மனநலய பதக்கப்பட்டவர்என்றநரபக்கப்பட்ட ள்ளத,வஜபரசதமனநலய பதக்கப்பட்டவர்என்றநர்பக்கப்பட்ட ள்ளத
கரக்கட்டடன் மட்டமல்ல வ ழ்க்கயன்ஒவ்வ ரஅம்சத்தலம்,கரக்கட்டடன் மட்டமல்ல வ ழக்கயனஒவவர்அமசததலம்
மலம் வஷயங்களத்தர ப்பவதற்கனவய்ப்ப கள்எனக்கஇல்ல,மலம் வஷ்யங்களத்தர பபவதற்கனவயப்பு கள்ளனக்கஇல்ல
மல்கல் நற கஜம் மற்கஒரஎரந்த பனக ர்பத்தஒரட்ரவர் சன்னர்,மலகல் நற கஜம மற்கஒரளர்ந்த பனக ரயதத்தஒரடரவர சன்னர
ஒவ்வரபரபஞ்சத்தலம்சபக்கப்பட்டமற்றம்அஞ்சப்படம் ஒரபயர்,ஒவவரபரப்படுச்சத்தலமசபக்கப்பட்டமற்றமஅஞ்சபபடம் ஒர்பயர
ரசகள்கற த்தஎன்கரத்த கள நீங்கள் வரம்பவதகசல்வீர்கள்,ரசகளகற ததஎனகரதத கள நீங்கள வரமபவதகசல்வீர்கள்
ஆனல்வ வயன்மீத னகதல் எப்பத ம் என் மனதலம் எண்ணத்தலம்இரந்தத,ஆனல்வ வயனம்த னகதல் எப்பத ம என மனதலம எண்ணததலமழிரநதத
அவரக்கவன்கறந்தள்ளதமற்றம்பன்றஅவரதறந்தஅகற்ற,அவர்க்கவனகறநதளளதமறறம்பன்றஅவரத்றநதஅகற்ற
நடவடக்கமற்றம்நம்ப க்கக்கனஅவசர அழகரல்களன்நடவ இஸ்ரல ல்நடபறகறத,நடவடக்கமற்றம்நம்ப க்கக்கனஅவசர அழகரல்களன்நடவ இஸ்ரல ல்நடபற்றத்
வந்த என்னடம்மலப்பழதவரந்தக்க ஏற்ற ஆடஎதவம்இல்ல இப்ப,வந்த என்னடம்மலப்பழதவரந்தக்க ஏற்ற ஆடஎதவம்இல்ல இப்ப
உன் பற்றர்கள்யர தர்ந்தடக்கறர்கள அவனத ரமணம்சய்தகள்ளவண்டம்,
என் வழ்க்கமழ வதம்நன்பர தபமன பண்ணகஇர க்கமடய த தரயம,என வழக்கமழ வதமநனபர் தபமன் பண்ணக்ஜிர ககமடய த தரயம்
ஆனல்ர ய்ட்லர்வழக்கல்இவனடன்நங்கள் ஒரந ளவீணடத்தள்ளம்,ஆனல்ர ய்ட்லர்வழக்கல்இவனடன்நங்கள் ஒரந ளவீணடத்தள்ளம்
நம்இரவரமசந்தமடந்த வடமயற்சயடன்சயல்படவண்டம்,நமஇரவர்மசந்தமடந்த வடமயற்சயடன்சயல்படவண்டம்
சர நீவீட்டலஇல்ல ஏன்ன நங்க வீட்டக்கவந்தரக்கம்,சர நீவீட்டலஇல்ல ஏன்ன நங்க வீட்டக்கவந்தரக்கம்
நீயம்என்னவட்டட்ட அலவலக அம்மக்களடன்சர்ந்தடவ,நீயமஎன்னவட்டட்ட அலவலக அமமககளடன்சரந்தடவ
என் சந்தவீட்டல்என் மன்னள்கதலயடன்இணந்தரக்கல ம்,என் சந்தவீட்டல்என் மன்னள்கதலயடனஇணநதரககல ம
என்னடயபல பரப்பள்ளகளன்பயரல் நன்க ழம்பவட்டன்,න්
அவர் உங்களக்கஎன்னசய்தர்என்பதஅறவதற்கம ன்ப மற்றவர்களடம்இரந்தவறபட்டத,அவர் உங்களக்களன்சயதர்என்பதஅறவதற்கம் னப மற்றவர்களடம்இரந்தவறபட்டத
நன்ஒன்றகதண்டகள்படமடயம்என்றல் கலயல்என்னநடந்தத,நனஒன்றகதண்டகளபடமடயம்என்றல் கலயலளன்னநடந்தத
நம் இரவரக்கம்இடய ல்ஏத ஒத்தப்பகறதஎனஎனக்க தன்றகறத,நம் இரவரக்கம்இடய ல்ஏத ஒத்தப்பகறதஎனஎனக்க தன்றகறத
நீங்கள் மக்கயமனவர் என்றஅவர்கள்நம்பகறர்கள்தன,நங்கள் மக்கயமனவர் என்றஅவர்களநம்பகற்களதன
தயவசய்தஎன்னகவடப்பட்ட இடத்தற்கஇடமற்றம்சய்ய ங்கள்,தயவசய்தஎன்னகவடப்பட்ட இடத்தற்கஇடமற்றம்சய்ய ங்கள்
நீங்கள் என்ன சல்கறீர்கள் நீங்கள் பறப்படகறீர்கள,நீங்கள் என்ன சலகற்கள் நீங்கள் பறப்படகற்ரகள
ஹ நீயம்ஆலவ ம்பன்ஆம் வளயட்டகளல்ஜயச்சதன்மலம்,ஹ நீயமஆலவ மபனஆம் வளயட்டகளலஜயசசதனமலம
சலவ னடகளலயதக்கதல் நடத்த வடவர்கள் எனவ நம்தயரகஇர க்கணம்,சலவ னடகளலயதக்கதல நடதத வடவரகள் எனவ நமதயர்கஜிர க்கணம்
ஆறஃபர்கட கள் மன்றகடகரகட கள் மற்றம்அவலஸல்உள்ளந லவங்க,ஆறஃபர்கடகள் மன்றக்கரகட கள மற்றமஅவல்ஸல்உள்ளந லவங்க
ஃபரங்க்ளன்கவண்ட ஃபல்டன்கவண்ட ஜனசகவ ண்ட கரீன்கவண்ட,ஃபரங்களன்கவண்ட ஃபல்டன்கவண்ட ஜனசகவ ணட கர்னகவணட
இந்த வண்கலத்தற்ககற்றக்கடக்கஉங்களக்க எஸ்கள்தவ,இந்த வணகலததறக்கறறக்கடக்கஉங்களக்க எஸ்கள்தவ
இப்பதநம்மதயகஅததரடவந்தம ட்டய நம்மதயகசவக்கலம்,இப்பத்தமமதயகஅத்தரடவந்தம் டடய நமமதயகசவக்கலம்
அனத்தஉற ப்பனர்களம்கலந்த கள்ளணம் கறந்தபட்சவரம்பஉறப்ப னர்கள்இரக்கணம்,அனத்தஉற பபனர்களமகலந்த கள்ளணம் கறநதபடசவரம்பட்டினர்களஇர்க்கணம்
அவர்கள் அதக ட்டக்கள்ஓட்ட ச்சல்வர்கள் ரந்தக்கஅல்ல,அவர்கள் அதக டடக்களவைட்ட சசலவரகள ரந்தக்கஅலல
பலஸ்ஏற்கனவலட்ட ல்பல்கல்ல வஷயத்தலபட க்ககத்த ட்டரக்கங்க,பல்ஸ்ஏற்கனவலட்ட லபலகலல் வஷ்யத்தலபட கககதத ட்டரக்கங்க
ஏனன்றல்அத தண்ணீர்தவரவ றல்ல கண் பர்க்கம டந்தவர,ஏனன்றலஅத் தண்ணரதவரவ றலல கண பரக்கம் டந்தவர
இதத்தன்நீங்கள்வரம்பனீர்கள் கடனமகஉழ த்தீர்கள் இல்லய,இதத்தன்நீங்கள்வரம்பனீர்கள் கடனமகஉழ த்தீர்கள் இல்லய
அதனல்அப்பஏற்படசய்யமட யம் அவளக்கஒர நல்லபட்ட,அதனல் அப்பஏற்படசயயம்ட யம் அவளக்கனர் நலலபட்ட
இந்த வத்தன்அலககண்ட டனசர்கள் ஒவ்வரவர டமம்இந்த வழயக கடந்தச்சல்லம்,இந்த வத்தன்அலககண்ட டனசர்கள் ஒவ்வரவர டமம்இந்த வழயக கடந்தச்சல்லம்
அனத்தசக்யரட்டகர்டகளம் வலசய்யம்அந்தச க்யர ட்டஅலவலகத்தக்க,அனததசகயரட்டகரடகளம் வலசயயயமஅந்தச கயர் டடஅலவலகததகக
அந்த ஜன்னல் வழய பர்த்தல் பரந்தவரயற மடவல்ல த,அந்த ஜனனல் வழய பரததல் பரந்தவரயற மடவலல் த
நீங்கள் என்ன சய்யவ ண்டம்என்பதநீங்கள்சய்யவண்டம்,நிங்கள் என்ன சயயவ ணடமஎனபகங்களசயயவண்டம்
ஆனல்அவளப்பற்றயஎனதநன வகளடன்கடந்தகலத்தல்நன்சக்கக்கண்டன்,ஆனலஅவளப்பற்றயஎனதநன் வகளடனகடநதகலத்தலநனசக்ககண்டன
உனக்கந ச்சயம்ஆக வட்டதஎன எனக்கஞ பகப்படத்தத,உனககந் சசயமஆக வட்டதனன் எனககளுடு பகப்படத்தத
நன்ப ரட்கள்கடங்கற்கச்சன்ற சலபதவகளஎடக்க வண்டயர ந்தத,நன்ப ரடகளகடங்கற்கச்சன்ற சலபதவகளைடக்க வண்டயர் நதத
நன்அதஅனத்தஅலவரசய லம்அனப்பகறன் ஆனல்எதவம்இங்க ரந்தசல்லவல்ல,நன்அதஅனத்தஅலவரசய லம்அனப்பகறன ஆனல்எதவம்இங்க ரந்தசல்லவல்ல
எங்களடன்இணந்தவர்களல்கடசய கநங்கள்ச தக்கறம்,எங்களடன்ஜிணந்தவர்களலகடசய கநங்களச தககறம
மடம் த ரலக்நம்மகட்டபரயஇவன் மதரஎப்படசீன்ப டவன்,மடம த ரலகநமமகட்டபரயஇவன் மதரஎப்படசீன்ப டவன்
பலீசர்அவர்களஇப்ப தஇரக்கம டயம் ஸ்டஷன்ஹவஸ் ஸ்வ ட்ன டவன் டவன்,பலீசர்அவர்களஇப்ப தஇரக்கம டயம் ஸ்டஷன்ஹவஸ் ஸ்வ ட்ன டவன்   இன்
நீங்கள் இன்னம்நண்டகள்ஒட்டக்கடயபரயஆண்கறயன்அல்லதவகயன,நீங்கள் இனனமநணடகளஒட்டக்கடயபரயஆணகறயனஅலலதவகயன
பதஇடத்தல்லநடந்தஅழமடயத ங்கறதல என்னடன்ப ரயப்பவதபதஇடத்தலசல்லறள்,பத்இடத்தல்நடநதஅழமடயத ங்கறதல் என்னடனப ரயப்பவதபதஇடத்தலசல்றள
உங்கள் சந்தஉள்ளஉள்ளத பரங்கடல் வர்த்தகளடன்,உங்கள் சந்தஉள்ளஉள்ளத் பரங்கடல் வரத்தகளடன
நன்உன்னஒவ்வரநளம்அழ க்கறன் நன்உன்னகதலக்கறன்,நன்உனன்ஒவவரநளமஅழ ககறன நன்உனனகதலககறன
பர் ந னம்ஃப்ரங்கம்கட இதப்பற்ற கவல்ந லயத்தல்வசரக்கறம்,பர் ந னம்ஃப்ரங்கம்கட இதப்பற்ற கவல்ந லயத்தல்வசரக்கறம்
தற்சயலகநடப்பதல்எனக்கநம்பக்க இல்லஎனதர யமல்லவ,தற்சயலகநடப்பதல்எனக்கநம்பக்க இல்லளனதர யமல்லவ
அவன் அவளடம்ச ன்றன் கரணம் அவள் அவனக்கப்பயப்படவல்ல,அவன அவளடமச ன்றன கரணம் அவள அவனக்கப்பயப்படவல்ல
நன்அதற்கஎப்படப்பதலளக்க வண்டம்என நன க்கறய்,நனஅதற்களப்பட்டப்பதல்ளக்க வண்டம்என நீன ககற்ய
எல்லரக்கம்தரய ம் நன்இன்னம்உள்ளஇரக்கறதக்ககரணம்,எல்லரக்கம்தரய ம் நன்இன்னம்உள்ளஇரக்கறதக்ககரணம்
பர் உங்கள்பல ஸ்நலயத்தற்கஉங்கள் அதகரத்தசமக்கவம்,பர உங்களப்ல ஸ்நலயத்தற்கஉங்கள் அதகரதத்சமக்கவம்
பலீஸவரவண்டம்னசல்ல நன்உன்பணத்தத்தரம்பவங்கத்தரன்,பல்ஸவரவணடமன்சலல் நன்உனபணத்தத்தரமபவங்கத்தரன
