reference,generated
கடசயல்ஓவன ம்ஃப்ர ங்கம்ஒரகழவக இணந்தபண யற்றவதகஇரக்கவ ண்டம்,கடசயல்ஓவன ம்ஃப்ர ங்கம்ஒரகழவக இணந்தபண யற்றவதகஇரக்கவ ண்டம்
ஒன்றக நீயம்நனம் அவளதன்னப்பர்த்தக்கள்ளம்வர,ஒன்றக நீயம்நனம் அவளதன்னப்பர்த்தக்கள்ளம்வர
உன் தத்தவடதத்தஉயரடஇர ந்த அவர் மலக ஸ்பட்டஉள்ளதள்ளனம்,உன் தத்தவடதத்தஉயரடஇர ந்த அவர் மலக ஸ்பட்டஉள்ளதள்ளனம்
உடம்பக்கஏத வதபரச்சனன்ன அதக்கன எல்லதீர்வநம்மடம்இரக்க,உடம்பக்கஏத வதபரச்சனன்ன அதக்கன எல்லதீர்வநம்மடம்இரக்க
அந்த நரம் ந ம்தய ரகஇரக்கம்பத கதரஇழப்பீர்கள்,அந்த நரம் ந ம்தய ரகஇரக்கம்பத கதரஇழப்பீர்கள்
எங்க அம்மர த்தரஎட்ட மணக்க டவலபக்கறசீரயல் பய,எங்க அம்மர த்தரஎட்ட மணக்க டவலபக்கறசீரயல் பய
அதஒரமறகலந்தஉரகயஉடல் கழப்ப ஒரவ ள்ளசவக்கரம்வளயற்றஒரதடங்கல் நத,அதாரமறகலந்தஉரகயஉடல் கழப்ப ஒரவ ள்ளசவக்கரம்வளயற்றஒரதடங்கல் நத
நன்அவர உங்கஅப்ப எரஞ்ச ட்டஇரந்ததபர்த்தசரச்ச,நன்அவர உங்கஅப்ப எரஞ்ச ட்டஇரந்ததபர்த்தசரச்ச
கழவறமசமகஅடத்த க்கண்டள்ளதநீஅந்தவடயக்கட கவனக்கவல்ல,கழவறமசமகஅடத்த க்கண்டள்ளதநீஅந்தவடயக்கட கவனக்கவல்ல
வர்த்தயசல் என்வழயல் ஆமம் ப ப் ஆம ம் பப் ஆமம் பப்,வர்த்தயசல் என்வழயல் ஆமம் பப் ஆம ம் பப் ஆமம் பப்
இந்த தந்தங்களல்ச றந்தநீங்கள்அவர்கள்சல்வதஇரக்கவண்டம்,இந்த தந்தங்களல்ச றந்தநீங்கள்அவர்கள்சல்வதஇரக்கவண்டம்
உன் படத்தஎடத்தக்கண்ட எங்கள் வரங்கலத்தபழக்கவட்டய்,உன் படத்தஎடத்தக்கண்ட எங்கள் வரங்கலத்தபழக்கவட்டய்
உனக்கஎன்னவண்டம்என்றந னக்கற ய் மற்றம்நீங்கள்உங்களபற்ற நனக்க றீர்கள்,உனக்கஎன்னவண்டம்என்றந னக்கறய் மற்றம்நீங்கள்உங்களபற்ற நனக்க றீர்கள்
ஆனல் இந்தமற இந்த மரணம்அதர்ச்ச அலகளமட்டர்பந்தய உலகல் பரவவட்டத,ஆனல் இந்தமற இந்த மரணம்அதர்ச்ச அலகளமட்டர்பந்தய உலகல் பரவவட்டத
எங்களக்கசல்லவம்அல்லத உங்கள் கயவட்ட வம் நீ தசமகன்,எங்களக்கசல்லவம்அல்லத உங்கள் கயவட்ட வம் நீ தசமகன்
நன்ப த்தணர்ச்சயனகற்றச வசத்த சலந ட்கள்ஆக ன்றன,நன்ப த்தணர்ச்சயனகற்றச வசத்த சலந ட்கள்ஆக ன்றன
அவள் ஒரந ளக்கஇரண்டமறகளப்பள்என்றநன்பந்தயம்கட்டன ன்,அவள் ஒரந ளக்கஇரண்டமறகளப்பள்என்றநன்பந்தயம்கட்டன ன்
என் பற்றர்கள்வட்டனர் எனக்கஉடம்பசரய ல்லஎனநனத்த,என் பற்றர்கள்வட்டனர் எனக்கஉடம்பசரய ல்லஎனநனத்த
அண்ணமலக்கஒரபலத்த கரகஷத்ததரலம லடீஸ்அண்ட்ஜன்டல்மன்,அண்ணமலக்காரபலத்த கரகத்ததரலம லடீஸ்அண்ட்ஜன்டல்மன்
நன்க ப்பஉங்களக்கபகர்ந்தஉடல்நலசரய ல்லமல்இர க்கறன்,நன்க ப்பஉங்களக்கபகர்ந்தஉடல்நலசரய ல்லமல்இர க்கறன்
பரசரயர்பரண்ட்ஏதவதசன்னர்கள நீங்கள் இடதம ன்இந்தக்கவத யன்,பரசரயர்பரண்ட்ஏதவதசன்னர்கள நீங்கள் இடதம ன்இந்தக்கவத யன்
நீங்கள் உங்கள் நண்பர்களகவனமகதர்வசய்யவண்டம்,நீங்கள் உங்கள் நண்பர்களகவனமகதர்வசய்யவண்டம்
மலம்அவர்கள்வீட்டற்கள்ஒரபயக் கண்டதகநனத்தபத்தயம் படப்பர்கள்,மலம்அவர்கள்வீட்டற்கள்ஒரபயக் கண்டதகநனத்தபத்தயம் படப்பர்கள்
ஆனல் உனக்கப்படத்தஒரவரவழ்வல் சந்தத்தல் அத ஒரநல்லத டக்கமகஇரக்கம்,ஆனல் உனக்கப்படத்தஒரவரவழ்வல் சந்தத்தல் அத ஒரநல்லத டக்கமகஇரக்கம்
என் சவத்தலதங்கறபலவர்மயர் பத்தஉன்கட்டவந்த சன்னங்கள,என் சவத்தலதங்கறபலவர்மயர் பத்தஉன்கட்டவந்த சன்னங்கள
நீங்கள் எப்பதம்உண்டஎன்பதல் நள்நீங்கள்மத ர்ந்தபரஞ்ச பறந்த,நீங்கள் எப்பதம்உண்டஎன்பதல் நள்நீங்கள்மத ர்ந்தபரஞ்ச பறந்த
ஆனக டங்கற்றஅளவக்கபதமரந்த பஜ்ஜயனள்மறந்தரந்ததபர்த்தன்,ஆனக டங்கற்றஅளவக்கபதமரந்த பஜ்ஜயனள்மறந்தரந்ததபர்த்தன்
வர்ணணயளர் சல பரக்கவலதகலயம் சலப ரக்கஇடதக லயம் பவர்இரக்கம்,வர்ணணயளர் சல பரக்கவலதகலயம் சலப ரக்கஇடதக லயம் பவர்இரக்கம்
நீங்கள் மக்கள் ஹர்லமற்றம் பற்றமறக்கசய்யவண்டம்,நீங்கள் மக்கள் ஹர்லமற்றம் பற்றமறக்கசய்யவண்டம்
நீர் இப்பதவறச லபண் வறச லஉணவகத்தல்இரக்கமடயம்,நீர் இப்பதவறச லபண் வறச லஉணவகத்தல்இரக்கமடயம்
என்னஒர தவற ஆனல்நன்நன க்கறன்என்ற பர்த்தக்கள்ள வண்டம்என்ற,என்னஒர தவற ஆனல்நன்நன க்கறன்என்ற பர்த்தக்கள்ள வண்டம்என்ற
ஹனனல்கடத்தப்பட்டஅரசல் அனத இல்லங்களக்கஅன ப்பப்பட்டவர்களம்,ஹனனல்கடத்தப்பட்டஅரசல் அனத இல்லங்களக்கஅன ப்பப்பட்டவர்களம்
நன்இரட்டயர்களபரசவ ச்சப்பத அதவ ரம்என்மமஇறந்தவ ட்டர மற்றம்,நன்இரட்டயர்களபரசவ ச்சப்பத அதவ ரம்என்மமஇறந்தவ ட்டர மற்றம்
அர்ஜனக்ககடம்பம்இல்ல ஆனல்நன்அவரக்கக இரக்கறன்,அர்ஜனக்ககடம்பம்இல்ல ஆனல்நன்அவரக்கக இரக்கறன்
என் கடரஇன்ன ம்உங்கள்சகதரகள்இரத்தத்தல் மன்மயய்உள்ளத,என் கடரஇன்ன ம்உங்கள்சகதரகள்இரத்தத்தல் மன்மயய்உள்ளத
அவன் இந்த வஷயங்களதன்ன பதக்கததபலஇர க்க றன்,அவன் இந்த வஷயங்களதன்ன பதக்கததபலஇர க்க றன்
இதஉங்கள்தழ ல்வழ்க்கக்கமகவம் பரயவஷயம்என்பதபரகறத,இதஉங்கள்தழ ல்வழ்க்கக்கமகவம் பரயவஷயம்என்பதபரகறத
டரகன்கபத்தக்கவரதமகஅவரதஉறவனர்கள ன்வழ்க்கயபணயம்மடயத,டரகன்கபத்தக்கவரதமக அவரதஉறவனர்கள ன்வழ்க்கயபணயம்மடயத
அதற்கபலநற்றண்டகள்நலத்தர க்கம் வரலற்றசறப்பமக்கஒரகததவ,அதற்கபலநற்றண்டகள்நலத்தர க்கம் வரலற்றசறப்பமக்கஒரகத்தவ
நன்ந றவனத்தல்பரழவ ஒரஆயதமக அவரதமளவகப்படத்தகற ர்சன்னன்நன்,நன்ந றவனத்தல்பரழவ ஒரஆயதமக அவரதமளவகப்படத்தகற ர்சன்னன்நன்
அவர்கள் உன் கண்களக்கள்ஊச கள சரகநன க்கறர்கள்,அவர்கள் உன் கண்களக்கள்ஊச கள சரகநன க்கறர்கள்
எனவ உங்கள்வசதக்கற்பவழக்க க்கத் தவயனதமட்ட ம்எழதனீர்கள்,எனவ உங்கள்வசதக்கற்பவழக்க க்கத் தவயனதமட்ட ம்எழதனீர்கள்
லக்கஷனம்அற்பதமஇரந்த அதவம்நம் கட்கறவல யலகடக்க த னசல்லட்டன்,லக்கனம்அற்பதமஇரந்த அதவம்நம் கட்கறவல யலகடக்க த னசல்லட்டன்
எங்க கம்பனக்ககடக்கவண்டய சன்னப்ரஜக்ட்ஸஏன்டக்ஓவர்பண்றீங்க,எங்க கம்பனக்ககடக்கவண்டய சன்னப்ரஜக்ட்ஸஏன்டக்ஓவர்பண்றீங்க
ஆனல்அவர்ஒர நரத்தல்ஆயரக்கணக்கனவழ்க்கயமற்றக்கண்டரந்தர்,ஆனல்அவர்ஓர நரத்தல்ஆயரக்கணக்கனவழ்க்கயமற்றக்கண்டரந்தர்
பத்வ கர மத்தக்கப்பகறர் அங்க அவரக்கத்தர யம,பத்வ கர மத்தக்கப்பகறர் அங்க அவரக்கத்தர யம
இவளப்பற்றயதகவல்கள இன்னம்த டக்கண்டரக்கன்றனர்,இவளப்பற்றயதகவல்கள இன்னம்த டக்கண்டரக்கன்றனர்
ரச்மண்ட்டஎத ர்க்கஎந்தரஸ்க்கயம் எடக்கதயரகஇல்ல,ரச்மண்ட்டஎத ர்க்கஎந்தரஸ்க்கயம் எடக்கதயரகஇல்ல
களங்கள் நீங்கள்உளவ ளஎன்ற நனம்கர ஸம்நனத்த ம்,களங்கள் நீங்கள்உளவ ளஎன்ற நனம்கர ஸம்நனத்த ம்
ஆண்டகளகநீங்கள் இந்தப் பட்டறயவட்டவளயவரவல்ல,ஆண்டகளகநீங்கள் இந்தப் பட்டறயவட்டவளயவரவல்ல
ஏதவதசறப்பனதகவல் இரந்த ரந்த எனக்கஞ பகமரக்கம்னதன்நனக்கறன்,ஏதவதசறப்பனதகவல் இரந்த ரந்த எனக்கஞ பகமரக்கம்னதன்நனக்கறன்
இன்னம்ஒரமணந ரத்தல் மயன்ஹல ல்அறமக நகழ்ச்சதடங்கம்,இன்னம்ஓரமணந ரத்தல் மயன்ஹல ல்அறமக நகழ்ச்சதடங்கம்
நன்இந்தபண்பற்ற ஏதவதஇரக்கறதஎன்றநன்நனக்க றன்,நன்இந்தபண்பற்ற ஏதவதஇரக்கறதஎன்றநன்நனக்க றன்
உங்களம தரஉட்க ர்ந்த சம்பளம் வங்கபக மட்டன்,உங்களம தரஉட்க ர்ந்த சம்பளம் வங்கபக மட்டன்
கஷ்டகலத்தத்தங்கக்க கனவகள்இல்லதஒரவ ழ்க எப்படய ரக்கம்,கஷ்டகலத்தத்தங்கக்க கனவகள்இல்லதஓரவ ழ்க எப்படய ரக்கம்
வரங்கள் இப்பழதநம்இரவர ம்தங்கம்ஒரமனதர்தண்டஎனநல்லததரயம்,வரங்கள் இப்பழதநம்இரவர ம்தங்கம்ஒரமனதர்தண்டஎனநல்லததரயம்
நயயர்க்பரநகரஇசக்கல ஞர்கள் உறப்பனர்அட்டயக்கட்டவ ம்,நயயர்க்பரநகரஇசக்கல ஞர்கள் உறப்பனர்அட்டயக்கட்டவ ம்
சலந ரங்களல்கவல கட்ட ப்படத்தவதஎன்பதபற்றஅறயஹர்ட் உங்களக்க த்தரந்த,சலந ரங்களல்கவல கட்ட ப்படத்தவதஎன்பதபற்றஅறயஹர்ட் உங்களக்க த்தரந்த
அழக்கனககளடதரடவட்ட நன்ப டப்பதற்கள்நழவஓடவட்டள்,அழக்கனககளடதரடவட்ட நன்ப டப்பதற்கள்நழவஓடவட்டள்
நன்அறந்தஎல்லமஅததன் அவர்கள் ஒன்றகப்ப ரடவற்ற பற்றனர்,நன்அறந்தஎல்லமஅததன் அவர்கள் ஒன்றகப்ப ரடவற்ற பற்றனர்
வந்த ந ங்கள்மகவம்அரமயன சறகதகளசமர்ப்பத்தம்,வந்த ந ங்கள்மகவம்அரமயன சறகதகளசமர்ப்பத்தம்
ஐய நீங்கள் கடம தலீட சய்யவந்ததகஅவர்களடம்சல்லங்கள்,ஐய நீங்கள் கடம தலீட சய்யவந்ததகஅவர்களடம்சல்லங்கள்
நன்நல்லஅப்பவகவ உங்கஅம்மவன் நல்ல கணவனகவஇல்லன்றததரயம்,நன்நல்லஅப்பவகவ உங்கஅம்மவன் நல்ல கணவனகவஇல்லன்றததரயம்
ஒரவண்ணத்தப்பச்சகட்டக்கள்ள இரக்கம்பத அதஅலறம்ன சல்லவங்க,ஒரவண்ணத்தப்பச்சகட்டக்கள்ள இரக்கம்பத அதஅலறம்ன சல்லவங்க
எனக்கக டத்தவட்டத அனத்தவகனங்கள்அவரத தசயல் சன்றன,எனக்கக டத்தவட்டத அனத்தவகனங்கள்அவரத தசயல் சன்றன
தரடம்உடல்வலவடயபயன்கள் தன் கடலவ லசய்யபணம்தரர்,தரடம்உடல்வலவடயபயன்கள் தன் கடலவ லசய்யபணம்தரர்
அவர் இப்பதபதட்டமகஇரக்கறர் நதன் இல்ல நன் இல்ல,அவர் இப்பதபதட்டமகஇரக்கறர் நதன் இல்ல நன் இல்ல
நன்க க்கவறக்கவம்தணநரல்கள்எட த்தக்கள்வர்நனத்தவளயவந்த,நன்க க்கவறக்கவம்தணநரல்கள்எட த்தக்கள்வர்நனத்தவளயவந்த
மணவதபடக்கறப்பவச்சர ந்தய ஒர அழக்கபம்ம அதபர் என்ன,மணவதபடக்கறப்பவச்சர ந்தய ஒர அழக்கபம்ம அதபர் என்ன
கங்கரஸ்மன்பரன ல்ஒரதள ஆதரம்க டகட க்கமடயவ ல்ல,கங்கரஸ்மன்பரன ல்ஒரதள ஆதரம்க டகட க்கமடயவ ல்ல
கடசநம ஷம்வரக்கம்தனமம்மற்றம் சய்யப்பட்டக்கண்டஇரந்தத,கடசநம ஷம்வரக்கம்தனமம்மற்றம் சய்யப்பட்டக்கண்டஇரந்தத
ஆம் இல்ல ட ட்டடம்இதப்பற்ற கட்பதற்கமன்ப உனக்க,ஆம் இல்ல ட ட்டடம்இதப்பற்ற கட்பதற்கமன்ப உனக்க
ஆனல்ந ன்அவரக்கஆர்வம்இல்லஎன்றநன்ந னக்கவ ல்ல,ஆனல்ந ன்அவரக்கஆர்வம்இல்லஎன்றநன்ந னக்கவ ல்ல
நமளஎல்லரம்ஒன்னபணம்பட்ட இந்த கம்பனயஆரம்பச்சரவம்,நமளஎல்லரம்ஒன்னபணம்பட்ட இந்த கம்பனயஆரம்பச்சரவம்
நம்அவரஅங்கஇரந்த மீளமடயம் நமக்கஅதல்எடத்தக்கள்ளவண்டம்,நம்அவரஅங்கஇரந்த மீளமடயம் நமக்க அதல்எடத்தக்கள்ளவண்டம்
வந்த ந ங்கள்என்னடயகரப்ட கரன்ச பற்றப சக்கண்டரந்தம்,வந்த ந ங்கள்என்னடயகரப்ட கரன்ச பற்றப சக்கண்டரந்தம்
தங்களக்கனததமத ர்வச ய்தல்என்ன நடக்கம்எனநன்பர்த்தள்ளன்,தங்களக்கனததமத ர்வச ய்தல்என்ன நடக்கம்எனநன்பர்த்தள்ளன்
நீங்க இரண்டப ரம்தன் எங்க அகடம ல தரடனதரட்டபசங்கள,நீங்க இரண்டப ரம்தன் எங்க அகடம ல தரடனதரட்டபசங்கள
நீங்கள் கழதபர ண்டஅணந்த ரக்கறீர்கள் வகமகஓடவதஉறத,நீங்கள் கழதபர ண்டஅணந்த ரக்கறீர்கள் வகமகஓடவதஉறத
நளக்கஅவள டயவசட்ட க்கதகடக்க நன்வ சஷமஒண்ண வச்சர க்கன்,நளக்கஅவள டயவசட்ட க்கதகடக்க நன்வ சஷமஒண்ண வச்சர க்கன்
என் அண்ணன் நன்நீங்கள்பர ர்த்தன வரந ன்மறக்கஎப்படஜபக்க வண்டம்,என் அண்ணன் நன்நீங்கள்பர ர்த்தன வரந ன்மறக்கஎப்படஜபக்க வண்டம்
அந்த கறபடநம்ம டவழ்வதவ ட இன்னரகள னக்கநன்உயர ட்டவ ன்,அந்த கறபடநம்ம டவழ்வதவ ட இன்னரகள னக்கநன்உயர ட்டவ ன்
நீங்க இரக்கம்நல யலரந்த என் கடனஉழப்பம் வரக்கயமம்,நீங்க இரக்கம்நல யலரந்த என் கடனஉழப்பம் வரக்கயமம்
சமனரம்ஜவப்பற்றக் கட்டபத அவள் இதயத்தப்பயம்பீடத்தத,சமனரம்ஜவப்பற்றக் கட்டபத அவள் இதயத்தப்பயம்பீடத்தத
இல்ல நீ இவ்ளஅழகஇரக்கம்பத சப்படஎப்படஇரந்த எனக்கன்ன,இல்ல நீ இவ்ளஅழகஇரக்கம்பத சப்படஎப்படஇரந்த எனக்கன்ன
அதன் மலம்ந ம்கர சற்கஎதரக வழக்கத்த டர்கறம்,அதன் மலம்ந ம்கர சற்கஎதரக வழக்கத்த டர்கறம்
இந்த வரஷத்தலநன்அவள கல்யணம்ம டக்கறதஇரந்த ச்சசர்,இந்த வரஷத்தலநன்அவள கல்யணம்ம டக்கறதஇரந்த ச்சசர்
உனக்கச யமர யதஇரந்த ல் இன்றக லபயர க்கமட்டய்,உனக்கச யமர யதஇரந்த ல் இன்றக லபயர க்கமட்டய்
நம்இன்னம்சரய னஇந்தகட்டடத்தன்உள்ள கட த்தவட்டத,நம்இன்னம்சரய னஇந்தகட்டடத்தன்உள்ள கட த்தவட்டத
நன்இயக்கனரன்மகள் பரதர்கன்ஸ்டன்ட் உங்கள் நக்கத்தற்ககஉறத யற்றவள்,நன்இயக்கனரன்மகள் பரதர்கன்ஸ்டன்ட் உங்கள் நக்கத்தற்ககஉறத யற்றவள்
யரடமம்சல்லத எங்கள்வட்டத்தற்கள்இரக்க வண்டம,யரடமம்சல்லத எங்கள்வட்டத்தற்கள்இரக்க வண்டம
நன்தீர்த்ததவரம்பகறன் என் கழதகப்பற்றயதற்ககநன்ற,நன்தீர்த்ததவரம்பகறன் என் கழதகப்பற்றயதற்ககநன்ற
எனக்ககரடபன்றமடஇல்ல என்ற உங்கள் ஒவ்வரவரக்கம்தரயம்,எனக்ககரடபன்றமடஇல்ல என்ற உங்கள் ஒவ்வரவரக்கம்தரயம்
எவ்வறயனம் இவஅத கரப ர்வமற்ற வறம்பய ற்சச்சற்ற க்கள்,எவ்வறயனம் இவஅத கரப ர்வமற்ற வறம்பய ற்சச்சற்ற க்கள்
அதஉங்களக்கண்டறயச்நரக்கமகபதநீங்கள் கனவகள்பற்றதவங்கம்,அதஉங்களக்கண்டறயச்நரக்கமகபதநீங்கள் கனவகள்பற்றதவங்கம்
சலந ரங்களல்மக்கள்என்ன சய்க றர்கள் கட்கறவர்களமனம க்கஅவர்கள்கட்கறர்கள்,சலந ரங்களல்மக்கள்என்ன சய்க றர்கள் கட்கறவர்களமனம க்கஅவர்கள்கட்கறர்கள்
சம்ம ஹச ல்லவந்தன் நீங்க எப்படஇரக்கீங்கன்னபர்க்கலம்ன,சம்ம ஹச ல்லவந்தன் நீங்க எப்படஇரக்கீங்கன்னபர்க்கலம்ன
அவன் உன் பஸ்இல்லஎன்பதல் அவனக்கநீ வளக்கம்கட,அவன் உன் பஸ்இல்லஎன்பதல் அவனக்கநீ வளக்கம்கட
அவர்களடம்இரண்டஅடக்க சீஸ் பர்க்கர்கள் இப்பதம்இர க்கம,அவர்களடம்இரண்டஅடக்க சீஸ் பர்க்கர்கள் இப்பதம்இர க்கம
எல்லபக்கங்களடணம்கரவம க வலசய்யம்ஒரவரல ற்ற ட,எல்லபக்கங்களடணம்கரவம க வலசய்யம்ஓரவரல ற்ற L
இந்த வணகத்தல்பணம்பண்ணம் வய்ப்பஇன்னம்இரக்க,இந்த வணகத்தல்பணம்பண்ணம் வய்ப்பஇன்னம்இரக்க
நன்நட்சத்தரங்கள்மத்தயல்நலயஎட்டனர்மற்றம் என்னநடந்ததவவர க்கவண்ணதஏதவத,நன்நட்சத்தரங்கள்மத்தயல்நலயஎட்டனர்மற்றம் என்னநடந்ததவவர க்கவண்ணதஏதவத
சர அந்தபழ யநட்களன்நல்லதப் பற்றயல்லம்பதயவர்களடம்சல்,சர அந்தபழ யநட்களன்நல்லதப் பற்றயல்லம்பதயவர்களடம்சல்
நன்எனததனப்பட்ட நரகத்தற்கச்சல்லவண்ட ம்எனநனக்கறன்,நன்எனததனப்பட்ட நரகத்தற்கச்சல்லவண்ட ம்எனநனக்கறன்
அவரதநம்பக்ககள்மற்றம்கனவகள் அவளந சக்கறன்மற்றம்வறக்கறன்,அவரதநம்பக்ககள்மற்றம்கனவகள் அவளந சக்கறன்மற்றம்வறக்கறன்
நீங்கள் டர்னவட்டசல்கறீர்கள்என்றநனக்கறீர்கள,நீங்கள் டர்னவட்டசல்கறீர்கள்என்றநனக்கறீர்கள
எத்தனப க்ஸ்வந்தங்க நம் பர்கலபத்தரமஇரப்பம்னசன்னன,எத்தனப க்ஸ்வந்தங்க நம் பர்கலபத்தரமஇரப்பம்னசன்னன
உங்களக்கம்தக தயனபட்டத்தற்கம்இடயல்இப்பதஎதவம்இல்ல,உங்களக்கம்தக தயனபட்டத்தற்கம்இடயல் இப்பதஎதவம்இல்ல
கய்ன் ந ன்ஒர சலம கஎள ய வதகள்என்றநன்வ ழஎன் வழ்க்க,கய்ன் ந ன்ஒர சலம கஎள ய வதகள்என்றநன்வ ழஎன் வழ்க்க
ஓ நச்சயமகநன்அந்த சன்னப்பயன அவனன்ஆசனத்தலயசடகறன்,ஓ நச்சயமகநன்அந்த சன்னப்பயன அவனன்ஆசனத்தலயசடகறன்
சவன்னவடனனநம்தடர்பஇத ஒரவதஆர்கனக்கம்ப்யட்டங்என்றநனத்தத,சவன்னவடனனநம்தடர்பஇத ஒரவதஆர்கனக்கம்ப்யட்டங்என்றநனத்தத
உண்மயல்நன்சல்க றன் ஜீவனள்ளரக்கள்தங்க யரங்கள்,உண்மயல்நன்சல்க றன் ஜீவனள்ளரக்கள்தங்க யரங்கள்
இப்பதநன்ஒட்ட க்கண்டரக்கவண்டம் அவர்கள் உமழம்வர,இப்பதநன்ஒட்ட க்கண்டரக்கவண்டம் அவர்கள் உமழம்வர
திசைகாட்டியை எதாவது இடையூறு செய்து இருக்கலாம்,திசைகாட்டியை எதாவது இடையூறு செய்து இருக்கலாம்
ஏனனல்அத எப்படச்சத்தயம் என்பதஎனக்கப்பரயவல்ல,ஏனனல்அத எப்படச்சத்தயம் என்பதஎனக்கப்பரயவல்ல
உன் தலயஎன்தள் மீதச ய்த்த என்னம த்தமடவம்சய்த,உன் தலயஎன்தள் மீதச ய்த்த என்னம த்தமடவம்சய்த
ஆறமல்யத்தவீரர்கள்ஒரவர க்கரவர் சண்டப டவர்கள் அந்த ஆறபர ல்,ஆறமல்யத்தவீரர்கள்ஒரவர க்கரவர் சண்டப டவர்கள் அந்த ஆறபரல்
ஆனல் கட்டப்பட்டதரம்ப இந்த நகரத்தன்மக்கள்மக்களக்க,ஆனல் கட்டப்பட்டதரம்ப இந்த நகரத்தன்மக்கள்மக்களக்க
அயனகண்கணப்பதகபபசல்கறள் இப்பதக்கஅவன்நலமக இரக்க றன்,அயனகண்கணப்பதகபபசல்கறள் இப்பதக்கஅவன்நலமக இரக்க றன்
அதகம்யனஸ்டகள்இரந்த ல் நன்அவர்களகண்பீர்கள் மற்றம்த ப்பக்ககள்கண்ட படக்க,அதகம்யனஸ்டகள்இரந்த ல் நன்அவர்களகண்பீர்கள் மற்றம்த ப்பக்ககள்கண்ட படக்க
அவள் எப்பதம்சந்தஷமகஇரப்ப ள் என உறதகற மடய ம,அவள் எப்பதம்சந்தஷமகஇரப்ப ள் என உறதகற மடய ம
இங்கஇதமதர தப்பக்கஎல்லம் மவயரம்ரபய்க்கமணகடக்க ம்,இங்கஇதமதர தப்பக்கஎல்லம் மவயரம்ரபய்க்கமணகடக்க ம்
நம் பணம் தீர்ந்தஐரப்பவல்வபச்சரம் சய்தபணம்,நம் பணம் தீர்ந்தஜரப்பவல்வபச்சரம் சய்தபணம்
உங்களக்கசல ப்பஏற்பட்டல் எனதபத்தகங்களஉங்களக்கக்க டப்பன் அவற்ற ப்படயங்கள்,உங்களக்கசல ப்பஏற்பட்டல் எனதபத்தகங்களஉங்களக்கக்க டப்பன் அவற்ற ப்படயங்கள்
நீங்கள் வீட்டசந்தக்கஎதரக பந்தயம்கட்டவரம்பகறீர்கள,நீங்கள் வீட்டசந்தக்கஎதரக பந்தயம்கட்டவரம்பகறீர்கள
இப்பதநன்இங்க ரப்பதல் வறங்கயடன்தரம்பமட்டன்,இப்பதநன்இங்க ரப்பதல் வறங்கயடன்தரம்பமட்டன்
அவர் இந்த இடத்தல்ப ர்த்தல அதஅவரஉடம்பசய்யம்,அவர் இந்த இடத்தல்ப ர்த்தல அதஅவரஉடம்பசய்யம்
நீங்கள் வட்டவடங்கள் ஒவ்வரமற யம்வலகச் சல்லங்கள்,நீங்கள் வட்டவடங்கள் ஒவ்வரமற யம்வலகச் சல்லங்கள்
தனயங்கவற்பனஇயந்தரம்கடக்கதஉணவ நீங்க கடசயஎப்பஎடத்த க்கட்டீங்க,தனயங்கவற்பனஇயந்தரம்கடக்கதஉணவ நீங்க கடசயஎப்பஎடத்த க்கட்டீங்க
நீங்கள் என்ன மயற்சசய்கறீர்கள் என்னடம்ச ல்ல,நீங்கள் என்ன மயற்சசய்கறீர்கள் என்னடம்ச ல்ல
பலத்தற்கஅடய ல் பங்கப ஞ்சல் சலர் வீட்டக ல்லபறத்தல்கடதங்க வன்,பலத்தற்கஅடய ல் பங்கப ஞ்சல் சலர் வீட்டக ல்லபறத்தல்கடதங்க வன்
பண்ணகல்யணத்தவடஒரஅப்ப வக்க என்ன பறப்பஇரக்கப்பகத,பண்ணகல்யணத்தவடஒரஅப்ப வக்க என்ன பறப்பஇரக்கப்பகத
அலட்டபயர்இன்ன ம்வஷயங்களப்பற்றகற்ற க்கண்டரக்கறத,அலட்டபயர்இன்ன ம்வஷயங்களப்பற்றகற்ற க்கண்டரக்கறத
ஆனல்ந ன்அப்படசல்ல ட்டனன்ன என்னநம்பவண்டம் என்ன,ஆனல்ந ன்அப்படசல்ல ட்டனன்ன என்னநம்பவண்டம் என்ன
அவசரப்படதீங்கநண்பர்கள டரஸ்ப ட்டகட்டதன்வரவ,அவசரப்படதீங்கநண்பர்கள டரஸ்ப ட்டகட்டதன்வரவ
மற்றஉற ப்பஅறவச கச்சப றநன் கரல்சட்டனதக்க ச்சல்லப்பட்டன்,மற்ற உற ப்ப அறவச கச்சப றநன் கரல்சட்டனதக்க ச்சல்லப்பட்டன்
நீ அடயளத்தவளப்படத்தமல் பதலசமர்ப்பத்தரக்கலம்,நீ அடயளத்தவளப்படத்தமல் பதலசமர்ப்பத்தரக்கலம்
நன்இங்கவலச ர்வதற்கமன் அந்தச்சம்பவம்நடந்தத,நன்இங்கவலச ர்வதற்கமன் அந்தச்சம்பவம்நடந்தத
மற்றவர்களன்கடனஉழப்பநீங்கள்ஊட்டவடக றீர்கள்,மற்றவர்களன்கடனஉழப்பநீங்கள்ஊட்டவடக றீர்கள்
நங்கள்அவர்களஅழத்த நன்உன்னக்கடத்தச்சன்றன்என்றகறவம்,நங்கள்அவர்களஅழத்த நன்உன்னக்கடத்தச்சன்றன்என்றகறவம்
ஒன்ற உயரக்ககஓடவர்கள் இல்லயல் மஜயன்கீழ ஒளவர்கள்,ஒன்ற உயரக்ககஓடவர்கள் இல்லயல் மஜயன்கீழ ஒளவர்கள்
